salary,emp_no,title
40000,12044,Senior Engineer
52051,12047,Assistant Engineer
67400,12054,Staff
44199,12062,Senior Staff
50233,12070,Technique Leader
75381,12076,Senior Staff
47946,12080,Senior Staff
47946,12080,Staff
46288,12089,Senior Staff
46288,12089,Staff
40000,12091,Senior Engineer
44788,12094,Senior Staff
76538,12112,Senior Staff
76538,12112,Staff
46398,12122,Engineer
46398,12122,Senior Engineer
41215,12125,Engineer
40000,12140,Senior Staff
109934,12149,Senior Staff
61210,12159,Senior Engineer
43366,12164,Engineer
40000,12172,Senior Staff
40000,12183,Engineer
70221,12186,Senior Staff
70221,12186,Staff
41625,12192,Engineer
41625,12192,Senior Engineer
40000,12205,Senior Engineer
79834,12213,Senior Staff
79834,12213,Staff
57507,12219,Senior Staff
56736,12221,Engineer
56736,12221,Senior Engineer
55840,12222,Senior Staff
55840,12222,Staff
54459,12223,Engineer
54459,12223,Senior Engineer
100755,12235,Staff
59183,12247,Technique Leader
40748,12258,Engineer
40748,12258,Senior Engineer
51816,12264,Engineer
90736,12273,Senior Staff
90736,12273,Staff
40000,12282,Engineer
67506,12291,Senior Staff
67506,12291,Staff
62015,12298,Senior Engineer
40000,12311,Senior Engineer
40000,12317,Staff
67449,12327,Engineer
67449,12327,Senior Engineer
51299,12328,Staff
40000,12339,Staff
70724,12355,Engineer
70724,12355,Senior Engineer
40000,12365,Engineer
40000,12365,Senior Engineer
43508,12379,Technique Leader
42211,12381,Senior Staff
42211,12381,Staff
40000,12388,Senior Engineer
40000,12394,Engineer
66909,12395,Senior Staff
85582,12399,Senior Staff
85582,12399,Staff
97610,12411,Senior Staff
97610,12411,Staff
67342,12417,Senior Engineer
52691,12421,Engineer
52691,12421,Senior Engineer
40000,12426,Technique Leader
40000,12450,Engineer
40000,12450,Senior Engineer
40000,12452,Engineer
50448,12464,Staff
65175,12466,Senior Staff
41627,12468,Staff
40000,12475,Engineer
40000,12475,Senior Engineer
63306,12489,Senior Engineer
40000,12490,Engineer
40000,12490,Senior Engineer
81191,12497,Senior Staff
81191,12497,Staff
76082,12501,Senior Staff
40000,12502,Senior Engineer
40000,12504,Engineer
50229,12506,Assistant Engineer
50229,12506,Engineer
40000,12509,Senior Staff
40000,12509,Staff
54241,12514,Engineer
50655,12515,Engineer
50655,12515,Senior Engineer
40000,12520,Engineer
47733,12522,Technique Leader
40000,12528,Senior Staff
40000,12528,Staff
66715,12534,Senior Engineer
40000,12540,Senior Staff
40000,12551,Engineer
40000,12551,Senior Engineer
40000,12553,Senior Staff
40000,12563,Engineer
76772,12564,Staff
53163,12571,Assistant Engineer
53163,12571,Engineer
66284,12574,Engineer
49125,12588,Engineer
49125,12588,Senior Engineer
59441,12589,Engineer
59441,12589,Senior Engineer
40000,12596,Senior Staff
41714,12601,Assistant Engineer
41714,12601,Engineer
41714,12601,Senior Engineer
55663,12617,Senior Staff
55663,12617,Staff
61375,12626,Assistant Engineer
61375,12626,Engineer
61375,12626,Senior Engineer
41052,12630,Senior Staff
41052,12630,Staff
40000,12635,Engineer
40000,12635,Senior Engineer
40000,12636,Senior Staff
40000,12636,Staff
56677,12638,Engineer
68271,12642,Senior Staff
68271,12642,Staff
75150,12651,Senior Staff
70030,12656,Senior Staff
70030,12656,Staff
40000,12664,Staff
40000,12666,Engineer
45281,12670,Engineer
78376,12687,Staff
40000,12697,Senior Staff
40000,12697,Staff
53664,12707,Staff
40000,12715,Staff
53194,12717,Staff
61177,12726,Senior Engineer
63044,12746,Engineer
63044,12746,Senior Engineer
40000,12747,Technique Leader
47071,12753,Engineer
47071,12753,Senior Engineer
62465,12761,Senior Staff
62465,12761,Staff
40000,12774,Engineer
41358,12789,Engineer
87760,12790,Senior Staff
87760,12790,Staff
81145,12798,Senior Staff
81145,12798,Staff
42816,12799,Senior Staff
91789,12803,Senior Staff
91789,12803,Staff
46737,12810,Technique Leader
46727,12821,Engineer
51521,12829,Engineer
51521,12829,Senior Engineer
40000,12843,Engineer
40000,12843,Senior Engineer
40000,12855,Senior Staff
40000,12855,Staff
62803,12863,Engineer
62803,12863,Senior Engineer
64679,12865,Senior Staff
61803,12869,Staff
40000,12879,Engineer
40000,12879,Senior Engineer
66390,12881,Staff
40000,12887,Engineer
40000,12887,Senior Engineer
40000,12899,Senior Staff
40000,12899,Staff
55723,12915,Senior Staff
55723,12915,Staff
68314,12926,Senior Staff
68314,12926,Staff
47274,12934,Engineer
47274,12934,Senior Engineer
67069,12941,Engineer
67069,12941,Senior Engineer
40000,12949,Engineer
40000,12949,Senior Engineer
59876,12969,Senior Staff
59876,12969,Staff
61326,12977,Engineer
61326,12977,Senior Engineer
56823,12987,Engineer
56823,12987,Senior Engineer
40000,13000,Engineer
40935,13002,Senior Engineer
40000,13004,Engineer
40000,13004,Senior Engineer
51216,13011,Technique Leader
40000,13013,Engineer
51770,13030,Senior Staff
51770,13030,Staff
77736,13034,Senior Staff
40000,13046,Senior Staff
52323,13047,Engineer
52323,13047,Senior Engineer
40000,13048,Senior Engineer
42693,13052,Engineer
42693,13052,Senior Engineer
58147,13065,Senior Staff
58147,13065,Staff
40000,13075,Senior Staff
40000,13075,Staff
40000,13086,Senior Staff
75658,13093,Staff
40000,13103,Senior Engineer
67777,13133,Senior Staff
67777,13133,Staff
51227,13134,Engineer
51227,13134,Senior Engineer
52825,13144,Senior Staff
52825,13144,Staff
61398,13146,Senior Staff
48285,13156,Engineer
48285,13156,Senior Engineer
54536,13159,Staff
49733,13161,Engineer
49733,13161,Senior Engineer
42796,13165,Engineer
42796,13165,Senior Engineer
49210,13168,Engineer
49210,13168,Senior Engineer
49012,13170,Senior Staff
49012,13170,Staff
46354,13173,Senior Staff
46354,13173,Staff
65572,13175,Engineer
65572,13175,Senior Engineer
90233,13179,Staff
46832,13182,Engineer
93138,13186,Senior Staff
93138,13186,Staff
40000,13189,Staff
43986,13192,Technique Leader
50821,13200,Engineer
50821,13200,Senior Engineer
40000,13203,Senior Staff
40000,13203,Staff
44383,13206,Staff
83961,13210,Senior Staff
83961,13210,Staff
49414,13233,Engineer
49414,13233,Senior Engineer
57427,13235,Engineer
40000,13238,Senior Staff
40000,13238,Staff
49018,13240,Engineer
49018,13240,Senior Engineer
83156,13246,Staff
40000,13260,Technique Leader
40000,13272,Senior Staff
45990,13282,Senior Staff
45990,13282,Staff
40000,13288,Senior Staff
40000,13288,Staff
54720,13291,Engineer
54720,13291,Senior Engineer
57991,13294,Staff
53718,13312,Engineer
40000,13315,Engineer
40000,13315,Senior Engineer
47422,13320,Engineer
47422,13320,Senior Engineer
40000,13346,Engineer
40000,13346,Senior Engineer
40000,13371,Senior Engineer
82749,13373,Senior Staff
82749,13373,Staff
40000,13374,Senior Engineer
52620,13379,Senior Staff
52620,13379,Staff
40000,13385,Senior Staff
91420,13386,Technique Leader
69221,13392,Senior Staff
69221,13392,Staff
44631,13394,Senior Staff
44631,13394,Staff
60799,13405,Senior Staff
60348,13407,Engineer
60348,13407,Senior Engineer
61838,13415,Technique Leader
53074,13417,Senior Staff
53074,13417,Staff
50468,13427,Staff
40000,13443,Engineer
40000,13443,Senior Engineer
53194,13445,Engineer
40000,13451,Senior Staff
40000,13451,Staff
41375,13458,Engineer
41375,13458,Senior Engineer
40000,13460,Engineer
40000,13460,Senior Engineer
40000,13463,Engineer
40000,13463,Senior Engineer
49821,13465,Engineer
40000,13493,Engineer
40000,13493,Senior Engineer
46130,13505,Staff
46435,13520,Engineer
46435,13520,Senior Engineer
52849,13524,Senior Staff
52849,13524,Staff
40000,13535,Assistant Engineer
40000,13535,Engineer
40000,13535,Senior Engineer
54246,13539,Engineer
54246,13539,Senior Engineer
82488,13540,Staff
91559,13544,Senior Staff
91559,13544,Staff
73346,13552,Senior Staff
73346,13552,Staff
73022,13576,Senior Staff
73022,13576,Staff
40000,13591,Assistant Engineer
76264,13598,Engineer
40000,13600,Staff
70404,13605,Senior Staff
70404,13605,Staff
40000,13617,Engineer
45456,13642,Senior Staff
45456,13642,Staff
53242,13653,Senior Staff
53242,13653,Staff
66158,13662,Senior Staff
66158,13662,Staff
40000,13670,Senior Engineer
46968,13680,Staff
48322,13685,Engineer
48322,13685,Senior Engineer
40000,13697,Technique Leader
40000,13704,Engineer
40000,13704,Senior Engineer
50798,13727,Staff
40000,13745,Engineer
40000,13745,Senior Engineer
66365,13758,Senior Staff
57288,13772,Engineer
74494,13786,Senior Staff
74494,13786,Staff
59127,13792,Senior Staff
59127,13792,Staff
50962,13796,Engineer
54537,13797,Senior Staff
54537,13797,Staff
40000,13799,Technique Leader
40000,13800,Technique Leader
43735,13809,Senior Staff
43735,13809,Staff
40000,13815,Engineer
40000,13815,Senior Engineer
54704,13825,Technique Leader
40000,13838,Senior Staff
40000,13838,Staff
61615,13853,Senior Staff
42013,13861,Engineer
40000,13875,Senior Engineer
40000,13899,Engineer
64188,13911,Staff
40000,13924,Engineer
40000,13924,Senior Engineer
47292,13936,Staff
87119,13943,Senior Staff
87119,13943,Staff
52426,13946,Engineer
52426,13946,Senior Engineer
67965,13962,Senior Engineer
40000,13966,Senior Staff
49895,13972,Technique Leader
49919,13987,Technique Leader
52723,13990,Assistant Engineer
52723,13990,Engineer
81318,13992,Senior Staff
81318,13992,Staff
40000,13999,Senior Staff
40000,13999,Staff
50800,14011,Engineer
40000,14012,Senior Engineer
69700,14034,Senior Staff
69700,14034,Staff
62982,14038,Engineer
62982,14038,Senior Engineer
63235,14041,Senior Staff
63235,14041,Staff
40000,14051,Senior Engineer
76767,14105,Staff
52696,14111,Senior Staff
52696,14111,Staff
62343,14122,Senior Staff
62343,14122,Staff
40000,14130,Staff
64727,14140,Senior Staff
40000,14150,Senior Staff
64495,14159,Engineer
40000,14168,Technique Leader
61519,14172,Senior Staff
61519,14172,Staff
40155,14191,Engineer
40155,14191,Senior Engineer
52225,14200,Senior Staff
49797,14214,Assistant Engineer
40000,14217,Senior Staff
40000,14217,Staff
50568,14232,Engineer
50568,14232,Senior Engineer
40000,14233,Senior Staff
40000,14233,Staff
59812,14234,Staff
40000,14236,Senior Staff
57219,14237,Engineer
57219,14237,Senior Engineer
55280,14241,Senior Staff
55280,14241,Staff
40000,14248,Engineer
40000,14248,Senior Engineer
40000,14251,Senior Staff
40000,14253,Senior Staff
40000,14253,Staff
47391,14281,Engineer
47391,14281,Senior Engineer
53317,14285,Senior Staff
53317,14285,Staff
78736,14290,Senior Engineer
41846,14292,Senior Staff
41846,14292,Staff
45483,14302,Engineer
40000,14310,Senior Staff
83644,14321,Senior Staff
83644,14321,Staff
50363,14322,Engineer
40000,14323,Staff
51046,14326,Senior Engineer
46371,14329,Senior Engineer
41979,14344,Technique Leader
56970,14364,Senior Staff
43031,14369,Engineer
43031,14369,Senior Engineer
58260,14384,Technique Leader
52022,14388,Senior Staff
52022,14388,Staff
41978,14398,Staff
74442,14406,Senior Engineer
58151,14411,Technique Leader
61764,14418,Engineer
40000,14434,Technique Leader
65830,14436,Assistant Engineer
65830,14436,Engineer
80654,14439,Engineer
80654,14439,Senior Engineer
52732,14457,Engineer
52732,14457,Senior Engineer
56267,14460,Engineer
56267,14460,Senior Engineer
40000,14483,Senior Engineer
60770,14490,Staff
55199,14497,Staff
40000,14498,Senior Staff
40000,14498,Staff
63646,14501,Technique Leader
54596,14502,Engineer
54596,14502,Senior Engineer
64238,14518,Engineer
40000,14530,Engineer
104153,14544,Senior Staff
104153,14544,Staff
40000,14552,Engineer
40000,14552,Senior Engineer
62163,14564,Staff
40000,14572,Technique Leader
40000,14582,Senior Engineer
40000,14589,Staff
70860,14595,Senior Staff
70860,14595,Staff
41352,14600,Senior Staff
55369,14603,Engineer
55369,14603,Senior Engineer
85426,14610,Senior Staff
85426,14610,Staff
66404,14621,Senior Staff
66404,14621,Staff
79405,14639,Senior Staff
79405,14639,Staff
42662,14640,Engineer
42662,14640,Senior Engineer
45647,14645,Engineer
45647,14645,Senior Engineer
43032,14667,Engineer
43032,14667,Senior Engineer
40000,14670,Assistant Engineer
40000,14674,Engineer
67712,14676,Senior Staff
67712,14676,Staff
40000,14677,Senior Engineer
62865,14681,Engineer
41107,14683,Engineer
41107,14683,Senior Engineer
68504,14684,Staff
40721,14703,Assistant Engineer
40721,14703,Engineer
53864,14716,Engineer
53864,14716,Senior Engineer
45421,14717,Senior Staff
45421,14717,Staff
40000,14723,Senior Staff
40000,14723,Staff
66530,14724,Senior Staff
66530,14724,Staff
46307,14746,Engineer
46307,14746,Senior Engineer
88993,14761,Senior Staff
88993,14761,Staff
40000,14763,Senior Engineer
49455,14776,Senior Staff
49455,14776,Staff
60709,14777,Engineer
46936,14785,Senior Engineer
40000,14791,Assistant Engineer
47045,14793,Engineer
40000,14814,Senior Staff
40000,14814,Staff
40000,14815,Engineer
40000,14818,Engineer
40000,14818,Senior Engineer
40000,14839,Engineer
40000,14839,Senior Engineer
58311,14853,Engineer
58311,14853,Senior Engineer
40000,14874,Engineer
67611,14881,Senior Staff
67611,14881,Staff
64365,14899,Senior Staff
64365,14899,Staff
40000,14902,Technique Leader
54758,14906,Senior Staff
54758,14906,Staff
40000,14908,Engineer
40000,14908,Senior Engineer
62738,14911,Engineer
62738,14911,Senior Engineer
40000,14914,Engineer
40733,14915,Engineer
40000,14920,Senior Staff
40000,14920,Staff
42712,14930,Senior Engineer
43608,14941,Engineer
43608,14941,Senior Engineer
40000,14942,Engineer
40000,14942,Senior Engineer
43510,14954,Senior Engineer
55187,14971,Senior Staff
63316,14973,Staff
75352,14978,Staff
86754,14983,Senior Staff
86754,14983,Staff
50368,15005,Engineer
50368,15005,Senior Engineer
40000,15016,Senior Staff
40668,15018,Senior Staff
40668,15018,Staff
41721,15019,Engineer
41721,15019,Senior Engineer
57957,15025,Senior Staff
57957,15025,Staff
40000,15030,Senior Staff
104525,15043,Senior Staff
40000,15049,Senior Staff
40000,15055,Senior Staff
40000,15055,Staff
83820,15064,Senior Staff
83820,15064,Staff
97484,15071,Senior Staff
97484,15071,Staff
40000,15075,Engineer
40000,15075,Senior Engineer
63024,15082,Technique Leader
40000,15087,Engineer
40000,15087,Senior Engineer
48594,15089,Engineer
48594,15089,Senior Engineer
40000,15092,Senior Staff
44588,15112,Senior Staff
44588,15112,Staff
40000,15114,Engineer
40000,15124,Senior Staff
40000,15129,Engineer
59986,15136,Staff
61253,15151,Senior Staff
61253,15151,Staff
64912,15169,Technique Leader
98401,15176,Senior Staff
98401,15176,Staff
47039,15193,Senior Engineer
51315,15195,Senior Engineer
55824,15196,Engineer
55824,15196,Senior Engineer
40000,15202,Assistant Engineer
40000,15202,Engineer
40000,15204,Engineer
44839,15207,Senior Engineer
44109,15208,Senior Staff
44109,15208,Staff
48675,15231,Engineer
48675,15231,Senior Engineer
47654,15234,Senior Engineer
40000,15237,Engineer
40000,15237,Senior Engineer
64696,15248,Senior Staff
64696,15248,Staff
40396,15253,Engineer
40396,15253,Senior Engineer
46211,15254,Senior Engineer
72318,15263,Senior Staff
72318,15263,Staff
60930,15269,Engineer
60930,15269,Senior Engineer
40000,15272,Engineer
40000,15272,Senior Engineer
50063,15283,Engineer
40000,15319,Assistant Engineer
40000,15319,Engineer
40000,15321,Engineer
40000,15321,Senior Engineer
40000,15324,Assistant Engineer
40000,15324,Engineer
40000,15324,Senior Engineer
41839,15329,Engineer
53020,15330,Senior Staff
53020,15330,Staff
78519,15331,Staff
40000,15337,Engineer
40000,15337,Senior Engineer
41309,15365,Engineer
41309,15365,Senior Engineer
81954,15369,Staff
67631,15370,Senior Engineer
40000,15374,Senior Staff
50274,15377,Engineer
50274,15377,Senior Engineer
66083,15382,Senior Staff
66083,15382,Staff
40000,15390,Engineer
40931,15395,Senior Staff
52659,15403,Senior Staff
40000,15406,Senior Engineer
58123,15410,Senior Staff
58123,15410,Staff
74013,15414,Technique Leader
64396,15422,Senior Engineer
40000,15428,Technique Leader
40000,15452,Engineer
54875,15461,Senior Staff
40693,15470,Engineer
90430,15474,Senior Staff
40000,15479,Engineer
40000,15479,Senior Engineer
47679,15482,Senior Engineer
53575,15489,Staff
61291,15491,Engineer
61291,15491,Senior Engineer
44126,15497,Engineer
56848,15505,Engineer
56848,15505,Senior Engineer
48661,15510,Engineer
48661,15510,Senior Engineer
76880,15511,Senior Staff
59369,15512,Senior Engineer
40000,15517,Assistant Engineer
53298,15532,Engineer
53298,15532,Senior Engineer
63090,15534,Senior Staff
63090,15534,Staff
40000,15555,Engineer
40000,15555,Senior Engineer
85961,15583,Senior Staff
85961,15583,Staff
73742,15637,Senior Staff
73742,15637,Staff
58685,15643,Engineer
64477,15646,Senior Staff
64477,15646,Staff
45913,15650,Senior Engineer
50313,15651,Assistant Engineer
50313,15651,Engineer
50313,15651,Senior Engineer
40000,15662,Staff
40000,15668,Senior Engineer
58919,15671,Senior Engineer
40000,15684,Engineer
40000,15684,Senior Engineer
62333,15687,Senior Staff
62333,15687,Staff
40000,15710,Engineer
40000,15710,Senior Engineer
40000,15715,Staff
40000,15733,Senior Staff
40000,15733,Staff
54605,15739,Engineer
41115,15744,Engineer
41115,15744,Senior Engineer
48304,15772,Senior Staff
48304,15772,Staff
53521,15788,Engineer
53521,15788,Senior Engineer
64458,15799,Senior Staff
64458,15799,Staff
50619,15809,Senior Staff
50619,15809,Staff
63847,15819,Senior Staff
63847,15819,Staff
40000,15847,Staff
40000,15855,Senior Staff
40000,15855,Staff
50890,15861,Senior Staff
50890,15861,Staff
40000,15869,Engineer
40000,15869,Senior Engineer
63393,15889,Engineer
63393,15889,Senior Engineer
46831,15893,Technique Leader
73364,15895,Staff
40000,15901,Engineer
40000,15901,Senior Engineer
45602,15911,Engineer
45602,15911,Senior Engineer
73476,15918,Senior Staff
50486,15942,Engineer
50486,15942,Senior Engineer
45281,15944,Staff
57717,15945,Engineer
57717,15945,Senior Engineer
45283,15955,Engineer
45283,15955,Senior Engineer
74527,15967,Senior Staff
74527,15967,Staff
42963,15971,Senior Engineer
40000,16000,Engineer
40000,16000,Senior Engineer
69484,16005,Senior Staff
69484,16005,Staff
40915,16013,Senior Staff
40915,16013,Staff
40000,16019,Engineer
40000,16019,Senior Engineer
53714,16028,Engineer
53714,16028,Senior Engineer
40000,16052,Engineer
40000,16052,Senior Engineer
74757,16066,Senior Staff
74757,16066,Staff
53031,16068,Senior Staff
53031,16068,Staff
40000,16069,Engineer
40000,16069,Senior Engineer
42903,16086,Assistant Engineer
42903,16086,Engineer
42903,16086,Senior Engineer
40000,16094,Engineer
40000,16094,Senior Engineer
41514,16096,Engineer
41514,16096,Senior Engineer
58718,16109,Engineer
58718,16109,Senior Engineer
40000,16118,Senior Staff
40000,16118,Staff
80251,16120,Senior Staff
80251,16120,Staff
40000,16130,Assistant Engineer
40000,16130,Engineer
54681,16142,Senior Staff
50877,16145,Senior Staff
50877,16145,Staff
55398,16149,Senior Staff
55398,16149,Staff
74119,16170,Senior Staff
74119,16170,Staff
